ID,Married,Gender,Age,Graduate,Profession,Years_of_Working,Spending_Score,Family_Members,Category,Class(Target)
0,1,1.0,36,,Artist,9.0,Low,2.0,Cat_6,C
1,0,1.0,49,1.0,Artist,1.0,Low,1.0,Cat_6,A
2,0,,25,0.0,Homemaker,8.0,Low,1.0,Cat_3,B
3,1,0.0,77,1.0,Lawyer,0.0,High,2.0,Cat_4,A
4,1,0.0,39,1.0,Entertainment,1.0,Average,4.0,Cat_3,A
5,1,0.0,39,1.0,,5.0,Average,3.0,Cat_6,D
6,0,1.0,40,1.0,Artist,8.0,Low,2.0,Cat_6,C
7,0,1.0,37,0.0,Homemaker,8.0,Low,1.0,Cat_6,B
8,0,1.0,49,1.0,Doctor,,Low,2.0,Cat_6,B
9,1,1.0,26,1.0,Engineer,1.0,Low,3.0,Cat_3,B
10,1,0.0,27,1.0,Healthcare,4.0,High,3.0,Cat_6,C
11,1,1.0,25,0.0,Entertainment,3.0,Low,1.0,Cat_4,D
12,1,1.0,28,0.0,Doctor,1.0,Low,1.0,Cat_4,D
13,1,1.0,41,1.0,Artist,9.0,Low,2.0,Cat_6,D
14,0,1.0,28,0.0,Doctor,0.0,Low,5.0,Cat_3,D
15,1,0.0,51,1.0,Entertainment,1.0,Average,2.0,Cat_6,C
16,1,1.0,23,0.0,Healthcare,1.0,Low,5.0,Cat_6,B
17,0,0.0,32,1.0,Artist,8.0,Low,3.0,Cat_6,C
18,0,1.0,32,1.0,Entertainment,1.0,Low,3.0,Cat_6,D
19,0,1.0,27,1.0,Healthcare,1.0,Low,7.0,Cat_2,D
20,0,1.0,38,1.0,Artist,4.0,Low,1.0,Cat_6,D
21,1,1.0,25,0.0,Healthcare,0.0,Low,4.0,Cat_3,A
22,1,1.0,42,1.0,Entertainment,2.0,Low,1.0,Cat_3,C
23,0,0.0,47,1.0,Artist,0.0,Low,,Cat_6,A
24,1,0.0,59,1.0,Entertainment,1.0,Average,5.0,Cat_3,C
25,0,1.0,39,1.0,Doctor,9.0,Low,1.0,Cat_3,C
26,1,0.0,71,1.0,Artist,1.0,Low,3.0,Cat_6,B
27,0,1.0,37,1.0,Artist,1.0,Low,1.0,Cat_4,A
28,0,0.0,51,1.0,Artist,0.0,Low,,Cat_6,D
29,1,0.0,55,1.0,Entertainment,1.0,Low,1.0,Cat_6,C
30,1,0.0,55,0.0,Artist,,Average,2.0,Cat_6,D
31,1,1.0,36,1.0,Entertainment,13.0,Low,1.0,Cat_6,D
32,0,0.0,60,1.0,Artist,1.0,High,4.0,Cat_6,A
33,0,0.0,45,1.0,Artist,1.0,High,5.0,Cat_6,A
34,0,0.0,47,1.0,Artist,0.0,Low,3.0,Cat_4,B
35,1,1.0,20,0.0,Doctor,0.0,Low,4.0,Cat_6,B
36,1,0.0,47,1.0,,1.0,High,3.0,Cat_6,C
37,1,0.0,61,0.0,Engineer,9.0,Average,4.0,Cat_6,A
38,0,0.0,52,0.0,Executive,1.0,Low,1.0,Cat_3,D
39,1,0.0,29,0.0,Entertainment,7.0,Average,2.0,Cat_3,B
40,0,1.0,28,1.0,Healthcare,0.0,Low,1.0,Cat_7,B
41,1,1.0,30,0.0,Marketing,1.0,Low,6.0,Cat_4,C
42,1,1.0,53,1.0,Doctor,0.0,Low,1.0,Cat_6,C
43,0,1.0,21,,Healthcare,3.0,Low,4.0,Cat_5,A
44,1,0.0,61,0.0,Artist,0.0,Low,1.0,Cat_7,D
45,1,0.0,50,1.0,Artist,0.0,Low,2.0,Cat_6,D
46,1,0.0,49,0.0,Artist,,Average,4.0,Cat_6,A
47,0,0.0,68,1.0,Artist,1.0,Low,2.0,Cat_6,D
48,1,0.0,30,0.0,Engineer,1.0,Average,3.0,Cat_4,D
49,1,1.0,29,1.0,Healthcare,5.0,Low,4.0,Cat_2,B
50,0,1.0,53,0.0,Artist,7.0,Low,1.0,Cat_6,A
51,0,1.0,37,1.0,Artist,1.0,Low,2.0,Cat_6,A
52,0,1.0,28,0.0,Healthcare,1.0,Low,2.0,Cat_4,D
53,1,1.0,32,1.0,Healthcare,8.0,Low,2.0,Cat_4,B
